SKU,Main Image URL,Other Image URL1,Other Image URL2,Other Image URL3,Other Image URL4,Other Image URL5,Other Image URL6,Other Image URL7,Other Image URL8,Swatch Image URL
CUPC-U12-ML,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-Main-V0-20240424.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic4-V0.jpg,,,,
CUPC-U12-SM,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-Main-V0-20240424.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic4-V0.jpg,,,,
CUPC-U7-LXL,,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic4-V0.jpg,,,,
CUPC-U7-ML,,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic4-V0.jpg,,,,
CUPC-U7-SM,,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U7-ListingImage-Pic4-V0.jpg,,,,
CUPC-U5-LXL,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-Main-V0-20241010.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic4-V0.jpg,,,,
CUPC-U5-ML,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-Main-V0-20241010.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic4-V0.jpg,,,,
CUPC-U5-SM,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-Main-V0-20241010.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U5-ListingImage-Pic4-V0.jpg,,,,
CUPC-U18-LXL,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-Main-V0-20241009.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic4-V0.jpg,,,,
CUPC-U18-ML,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-Main-V0-20241009.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic4-V0.jpg,,,,
